"Name","Impressions per 7 days","Uniques per 7 days","Average CPM"
"540x912","118491","6458","4.4805684089660645"
"320x240","117087","10669","3.8703835010528564"
"360x200","116807","34255","0.5767067670822144"
"360x672","115964","7300","7.302906036376953"
"344x275","114841","842","0.19171150028705597"
"541x60","114560","8142","0.3755882680416107"
"963x90","112876","17408","0.280447781085968"
"336x250","112595","61773","1.6696758270263672"
"608x60","111472","6177","1.3499494791030884"
"328x280","110349","32290","0.6628243327140808"
"480x854","108945","12916","4.513556480407715"
"360x1336","108102","28921","0.19742856919765472"
"296x250","107541","27797","0.27057433128356934"
"396x280","106979","10108","0.27181100845336914"
"676x60","106698","12354","0.18139472603797913"
"704x60","106698","17127","0.2191578596830368"
"383x50","106418","5896","0.7542216777801514"
"545x51","105294","6177","0.17018669843673706"
"335x50","105014","9546","0.17197860777378082"
"320x267","104733","20216","0.9165146350860596"
"750x100","104733","22182","2.493981122970581"
"951x90","104733","842","0.07410185784101486"
"604x60","104452","27517","0.1971236616373062"
"363x280","104452","19093","0.45959678292274475"
"1366x90","103891","2807","1.0026487112045288"
"432x280","103610","3088","0.18333332240581512"
"628x280","103048","8985","0.21144413948059082"
"424x706","102487","7581","4.617781162261963"
"384x50","102206","2246","0.6123901009559631"
"144x24","101925","12073","3.75"
"315x280","101363","14881","0.7098060846328735"
"601x50","101363","842","1.6359827518463135"
"740x90","100240","33975","0.45739492774009705"
"360x206","99398","36221","0.45152539014816284"
"384x250","99117","16847","0.7097733020782471"
"298x60","99117","32852","0.10849858075380325"
"707x60","98275","16004","0.1908857226371765"
"655x60","97432","6458","0.20265130698680878"
"266x250","97432","6177","0.1748414784669876"
"657x280","96871","5896","0.2255362719297409"
"386x280","96590","1965","0.3688083589076996"
"568x50","96309","12635","2.4012529850006104"
"333x50","96028","1123","1.2286251783370972"
"305x64","95186","20216","5.8793511390686035"
"365x1352","95186","3088","0.020353971049189568"
"280x600","94625","34255","0.20089022815227509"
"240x133","92940","17127","0.76362544298172"
"386x50","92378","4211","0.12875379621982574"
"392x280","91817","26674","0.7057185769081116"
"365x305","89851","12354","0.5915312767028809"
"340x200","89570","37344","0.19297803938388824"
"655x280","89570","2807","0.21087774634361267"
"585x60","89570","3369","0.4884639084339142"
"468x100","88728","1403","1.586867094039917"
"1024x600","88166","4492","4.639873027801514"
"350x250","87324","44925","0.8209003806114197"
"534x320","87324","6458","5.431736946105957"
"358x280","86201","20216","0.9134528040885925"
"370x280","86201","4773","0.15918569266796112"
"412x387","86201","13196","0.1528664380311966"
"246x200","86201","8423","0.6745928525924683"
"688x60","86201","6177","0.17429964244365692"
"536x280","86201","2807","0.6043648719787598"
"186x150","84797","8142","0.1219867542386055"
"336x400","84235","37063","0.010199998505413532"
"335x280","84235","14881","0.4459332823753357"
"968x90","83674","4492","0.38835573196411133"
"579x60","83393","17127","0.2586195468902588"
"320x320","83112","3088","3.494020462036133"
"577x60","82551","8142","0.2327890545129776"
"412x344","82551","7581","0.5899999737739563"
"240x400","82270","13758","1.7523547410964966"
"620x280","81989","23866","0.23294521868228912"
"305x493","81428","280","2.396620988845825"
"590x60","81147","12073","0.5526297688484192"
"524x60","80866","12354","0.27774304151535034"
"568x60","80304","19093","0.17136365175247192"
"390x280","80024","9546","0.34975436329841614"
"521x280","79462","1684","0.2756536602973938"
"317x250","78620","19093","0.6204640865325928"
"960x552","78339","5334","4.996237277984619"
"275x250","78058","16566","0.5623741745948792"
"970x66","77777","9265","4.2060651779174805"
"640x50","77216","7862","2.8451998233795166"
"324x250","76935","8985","0.6506936550140381"
"360x668","76935","2246","4.777590274810791"
"640x1136","76093","74970","13.60479736328125"
"760x90","75812","20778","0.35207411646842957"
"270x250","74689","11793","0.39225566387176514"
"412x250","74689","29763","1.2333835363388062"
"325x271","74127","5896","0.8185226917266846"
"250x500","73846","4211","0.15984788537025452"
"300x280","73846","25832","0.7052091360092163"
"618x60","73566","20216","0.13370227813720703"
"564x250","72723","3650","0.21714286506175995"
"640x100","70758","19935","3.75"
"336x50","70758","23305","0.30793654918670654"
"534x280","70758","5334","1.2464290857315063"
"230x200","70477","29201","0.6937053799629211"
"402x280","70477","15443","0.3904381990432739"
"359x200","70477","24147","0.14454182982444763"
"360x594","70196","3931","3.513359308242798"
"240x200","69915","10108","0.06028113141655922"
"650x280","69635","23305","0.10302417725324631"
"579x280","69354","8985","0.8159515261650085"
"424x753","69073","5896","5.744959354400635"
"120x30","68792","8704","3.75"
"884x90","68792","2527","0.569142758846283"
"120x60","68231","7019","16.35880470275879"
"604x280","67950","5334","0.32371896505355835"
"768x100","67950","4211","0.9900414347648621"
"398x200","67950","18251","0.15896695852279663"
"355x250","67669","28921","1.3795850276947021"
"361x280","67669","14881","0.23875513672828674"
"627x280","67669","17408","0.2673858404159546"
"322x250","67388","12916","0.48483332991600037"
"261x250","67388","8985","0.4516667127609253"
"541x90","66265","1965","2.4637718200683594"
"592x60","66265","15724","0.28360170125961304"
"412x765","66265","5054","5.315062522888184"
"310x280","65984","12073","0.37076592445373535"
"169x125","65423","16004","0.06064378842711449"
"320x150","65423","15724","1.3676822185516357"
"375x80","65423","10950","4.528883457183838"
"342x280","64861","12916","0.35896098613739014"
"300x374","64861","11231","0.4820346534252167"
"750x1334","64861","62053","11.941125869750977"
"690x60","64861","15724","0.3491342067718506"
"738x90","64580","7300","0.3276086449623108"
"235x700","64580","43241","0.03021739050745964"
"982x600","64580","3088","6.41021728515625"
"750x200","64019","15724","3.0107457637786865"
"670x280","63738","9546","0.39748895168304443"
"290x60","63176","27797","0.1933778077363968"
"756x90","62896","1123","0.2945535182952881"
"300x150","62053","14320","1.8550677299499512"
"610x280","61773","26113","0.2916363775730133"
"340x284","61773","3369","0.7516361474990845"
"710x60","61492","7019","0.3555707633495331"
"470x329","61492","1684","0.014337912201881409"
"343x250","61492","13758","0.6608676314353943"
"330x275","60369","7862","0.5591163039207458"
"940x90","60369","18251","0.3866977095603943"
"320x300","59807","10108","0.6897653341293335"
"384x640","59526","1123","4.9256696701049805"
"374x280","59526","21620","0.4456603229045868"
"345x317","59245","2527","0.5042179822921753"
"351x250","58684","34255","2.067033529281616"
"512x50","58403","5054","1.1875964403152466"
"620x60","58122","21901","0.2566666603088379"
"580x60","58122","9827","0.3224155008792877"
"748x90","57842","12916","0.25849515199661255"
"326x250","57561","22743","0.9850731492042542"
"628x60","57561","17970","0.23678050935268402"
"320x230","57561","3931","0.6179997324943542"
"582x280","56999","5896","0.23768477141857147"
"345x374","56718","26113","0.5727723240852356"
"414x1520","56438","10950","0.16786068677902222"
"522x60","56157","2246","0.21699994802474976"
"579x250","55876","14320","0.6337186098098755"
"300x200","55876","19935","0.8569849133491516"
"400x400","55876","21901","0.3481406569480896"
"365x280","55314","15162","0.4747715890407562"
"170x600","55034","3931","0.11882653087377548"
"647x280","54753","15443","0.25241023302078247"
"601x360","54472","2807","6.9770121574401855"
"936x90","54191","29201","0.318290114402771"
"360x90","53630","8423","0.259424090385437"
"522x280","53630","1123","1.698638916015625"
"308x250","52787","10389","0.336542546749115"
"375x59","52787","5896","0.523191511631012"
"404x337","52787","6177","0.38946810364723206"
"581x60","52507","16566","0.3880749046802521"
"600x960","52507","561","0.6954012513160706"
"366x280","52507","4773","0.2896256744861603"
"654x60","51945","7862","0.26221615076065063"
"305x250","51383","9827","0.16874314844608307"
"321x250","51103","5615","0.1618681252002716"
"220x600","50822","7300","0.23701655864715576"
"788x90","50822","3369","0.23591157793998718"
"273x250","50260","5334","0.1470949649810791"
"800x250","50260","10950","0.13776537775993347"
"650x90","49980","5615","3.7307305335998535"
"568x250","49980","11793","0.18061794340610504"
"511x280","49418","1123","0.34619322419166565"
"605x60","49137","4492","0.09937141090631485"
"355x1319","49137","24709","0.1939999759197235"
"451x722","48856","1123","8.684483528137207"
"602x280","48856","2527","0.38074710965156555"
"464x60","48856","14320","0.10919540375471115"
"724x60","48295","5054","0.1666279286146164"
"412x684","48295","3369","6.936685085296631"
"561x60","48014","10108","0.5030409693717957"
"714x60","48014","10669","0.6983042359352112"
"647x60","48014","6738","0.06157893314957619"
"338x282","48014","6177","0.3054386079311371"
"974x90","47733","1123","0.03141177445650101"
"274x338","47452","3650","6.25"
"670x60","47452","13196","0.11491123586893082"
"683x60","46891","11793","0.14856289327144623"
"358x326","46891","11512","0.1075449287891388"
"854x90","46891","6458","0.6391616463661194"
"404x280","46610","10950","0.4233132302761078"
"598x60","46610","15443","0.20277109742164612"
"336x60","45768","4211","0.3634970188140869"
"320x610","45768","4492","4.076870441436768"
"88x87","45487","10669","10.036725997924805"
"304x600","45487","28640","0.08277776837348938"
"150x150","44645","9265","0.05566038191318512"
"880x90","44645","5615","0.28427669405937195"
